127.0.0.1 - - [12/Sep/2024:14:19:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:19:18 +0530] "GET /JspDemo/ HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:31:28 +0530] "GET /JspDemo/ HTTP/1.1" 500 2315
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:33:56 +0530] "GET /JspDemo/ HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:36:27 +0530] "GET /JspDemo/ HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:37:00 +0530] "GET /JspDemo/ HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:37:11 +0530] "GET /JspDemo/ HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:41:03 +0530] "GET /JspDemo/ HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:41:54 +0530] "GET /JspDemo/ HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:46:47 +0530] "GET /JspDemo/ HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:48:51 +0530] "GET /JspDemo/ HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [12/Sep/2024:14:59:28 +0530] "GET /JspDemo/ HTTP/1.1" 200 1379
